ID,Claim
25902,1
19535,0
43717,1
48271,1
52318,0
31820,1
5943,0
45799,0
4666,0
10884,0
18279,0
39099,0
18184,1
33106,1
54962,0
17753,1
18649,1
33032,1
9885,1
62676,0
9448,0
49527,0
51975,1
9287,1
17873,0
50238,1
14136,1
24479,1
15068,1
49306,0
26756,0
51033,0
2363,1
26520,1
33576,0
9891,1
55190,1
55862,0
43859,1
8281,0
23706,0
37821,0
19338,0
22832,0
37442,0
30962,0
2060,0
7581,1
15647,0
8953,1
33769,1
55785,1
15227,0
52354,0
52516,0
55321,1
11302,0
1017,0
5975,1
50113,1
44259,1
50648,0
3252,0
10306,1
27419,0
8185,1
37413,0
20278,0
16412,1
53080,0
33337,0
58813,0
39206,0
60681,1
45608,1
32616,0
17395,0
42023,1
30428,0
62616,0
45034,1
53282,0
41146,0
57043,0
36390,1
55072,0
17243,0
51596,1
25579,0
2924,1
14349,0
51458,0
20590,1
45273,0
44114,1
39769,1
42813,0
19584,0
34882,1
4247,0
27408,0
47416,1
40244,1
31574,0
32671,0
46847,0
30022,0
57928,0
58114,0
24032,1
13085,0
21179,1
58294,0
60940,1
16400,1
19707,0
56335,1
35826,1
45947,0
56817,0
4121,1
5314,0
32084,0
24669,1
27731,1
53194,0
10013,1
4402,1
14573,1
58265,1
31227,1
15088,0
18591,1
32775,1
35638,1
6042,0
56065,1
30319,0
39619,0
46052,0
3861,0
1035,0
12340,1
63059,0
58434,1
17976,1
57699,1
13731,1
62983,1
51787,0
1419,1
2366,0
23214,0
32372,1
46352,0
55024,1
40844,0
7832,0
9073,0
19789,0
40161,0
15496,1
50720,1
60855,1
34819,1
35475,1
16514,0
713,0
50941,1
21883,0
49564,1
45067,0
50779,1
13903,0
34063,1
49707,0
38400,0
33868,0
7318,1
46090,1
15156,0
54516,1
11981,1
45260,0
43326,1
56442,1
10316,0
3561,0
59877,0
29517,0
43892,1
35410,1
34211,1
28002,1
36476,0
60680,0
20443,1
12635,0
27232,0
29690,0
4967,0
46630,1
44271,1
56363,1
41251,1
56534,0
55401,0
59281,0
30724,1
38396,0
59544,1
38223,0
27177,0
23408,1
7669,1
26063,1
2697,1
46925,1
31760,0
984,0
15899,0
4239,0
55561,1
26493,0
62015,1
33503,0
7546,1
37759,1
32842,0
39669,1
23409,1
20892,0
54041,1
54450,1
7386,0
24154,1
248,1
8510,0
13753,1
3367,1
13639,1
7620,0
21501,1
15885,1
39046,1
49407,1
9294,1
14603,1
44463,0
58437,1
25126,1
6500,0
18884,1
16128,1
39180,1
5376,0
30774,0
53863,0
10813,0
10389,1
59622,0
17119,1
6882,1
25001,0
9962,0
45361,1
38897,0
41858,1
31548,1
13775,1
46086,1
59824,1
34091,0
47240,1
334,0
5149,1
33597,0
52592,1
36498,0
58851,0
40338,0
11054,1
59288,0
37966,1
25694,0
30894,1
4418,1
2940,1
38086,1
28825,1
19566,0
42706,1
28092,1
61188,1
27109,0
48623,1
36366,1
43452,0
41648,1
40763,1
37841,0
17792,1
16579,1
29711,1
40423,1
44480,1
35708,1
23767,0
274,1
50385,1
47749,0
49885,1
29126,1
61356,0
2826,0
56533,0
24191,1
743,0
31596,0
17847,0
32455,0
25965,0
53162,1
51971,0
1332,1
17578,1
15079,0
34279,0
21678,1
4692,0
55331,1
12222,0
55092,0
35391,0
45960,0
60677,1
6090,0
59504,1
52261,1
28034,0
37619,1
46100,1
12508,1
51376,0
21979,1
61169,0
20195,0
17967,1
9346,1
52358,1
57728,0
382,1
33991,1
59246,1
60710,0
28130,1
5113,0
46802,0
26776,0
9149,0
23272,1
10547,0
62111,1
39292,1
40720,0
46181,1
63021,1
38190,0
28907,1
35163,0
60211,1
34190,0
56940,0
3036,0
16909,0
15341,1
20296,0
4438,1
21443,1
20578,0
23976,1
40488,0
47212,1
32112,0
19196,1
13460,1
21892,0
60820,0
41751,1
30023,1
56694,1
36010,0
31702,1
39351,1
61641,1
53066,0
29463,0
49393,1
50266,0
27116,1
3948,1
33516,1
40105,0
9472,1
46067,1
49534,1
61128,0
56050,0
550,0
145,0
8319,0
16099,0
8292,1
41818,0
59168,1
20151,0
41984,1
7129,0
40003,0
63060,0
28532,0
5569,0
38576,0
11369,0
31800,0
59741,0
40552,0
53766,0
22420,0
58406,0
46354,0
275,0
26909,1
21213,1
35472,1
12954,1
51830,1
48081,1
39984,0
18620,1
40744,0
4731,0
8352,1
5460,0
7119,1
48826,1
33747,0
44443,1
12905,0
57337,1
61312,1
46603,1
40055,1
15874,1
54919,1
31432,0
56984,1
54787,0
5308,1
12147,0
1570,1
58322,0
51126,1
50773,1
11823,0
14693,0
28100,1
61319,1
46709,1
16999,0
39768,1
11992,1
44537,0
35046,1
55631,0
16038,0
50409,0
6496,0
59415,1
29507,1
47655,0
21914,0
10690,0
45419,0
7314,0
57461,0
22908,1
56758,0
20005,0
59517,0
17394,0
50307,1
14370,1
50463,1
54861,1
11765,0
30863,1
14126,0
42149,0
27567,0
25857,0
17180,0
28789,1
38979,1
33016,1
41688,1
28380,1
40560,0
25003,0
18117,0
1801,0
7491,1
29190,0
31079,1
48691,1
4650,0
40180,0
53806,1
5368,0
7644,0
16716,0
42852,0
59688,0
41222,0
25754,0
35062,1
1613,0
37633,1
25529,1
45942,0
35471,1
8759,1
18376,0
51957,1
52529,0
30878,1
43230,1
43058,1
29492,1
10066,0
11195,0
1723,0
57717,0
50220,1
14961,1
35218,1
1116,0
59618,0
3381,0
57397,1
53868,0
13519,0
16621,1
61215,0
42041,1
2264,1
690,0
16392,0
